unit,level,source_url,tanggal_ambil
"Dalam pertemuan tersebut, warga menyampaikan keluhan terkait kondisi Tempat Pembuangan Akhir (TPA).",tak jelas,https://aksara24.id/2026/02/17/reses-di-pintu-batu-legislator-rodi-soroti-krisis-sampah-dan-janji-perjuangkan-infrastruktur-2027/,2026-06-15
"Selain persoalan sampah, warga juga mengangkat isu infrastruktur, khususnya kondisi gorong-gorong dan bahu jalan yang dinilai perlu segera diperbaiki.",tak jelas,https://aksara24.id/2026/02/17/reses-di-pintu-batu-legislator-rodi-soroti-krisis-sampah-dan-janji-perjuangkan-infrastruktur-2027/,2026-06-15
"Melalui reses ini, Rodi berharap terjalin sinergi antara pemerintah, pihak ketiga, dan masyarakat dalam menyelesaikan persoalan sampah dan infrastruktur.",tak jelas,https://aksara24.id/2026/02/17/reses-di-pintu-batu-legislator-rodi-soroti-krisis-sampah-dan-janji-perjuangkan-infrastruktur-2027/,2026-06-15
Ia juga mengajak warga terus aktif menyampaikan aspirasi agar kebijakan yang diambil benar-benar sesuai kebutuhan di lapangan.,tak jelas,https://aksara24.id/2026/02/17/reses-di-pintu-batu-legislator-rodi-soroti-krisis-sampah-dan-janji-perjuangkan-infrastruktur-2027/,2026-06-15
Ia mengingatkan masyarakat agar tetap menjaga hubungan baik dalam keluarga dan lingkungan sosial.,tak jelas,https://aksatanews.com/gubernur-al-haris-sholat-idul-adha-1447-h-di-masjid-al-falah-ajak-masyarakat-perkuat-semangat-berkurban,2026-06-15
"Pada kesempatan tersebut, Al Haris turut mengajak masyarakat untuk mendoakan kesehatan Presiden Prabowo Subianto agar senantiasa diberikan kekuatan dalam memimpin bangsa dan membawa kesejahteraan bagi rakyat Indonesia.",tak jelas,https://aksatanews.com/gubernur-al-haris-serahkan-sapi-kurban-presiden-prabowo-seberat-930-kg-di-islamic-center-,2026-06-15
"Selanjutnya, dalam misi ketiga, yang berfokus pada Pemantapan Keberlanjutan Pembangunan dan Kualitas Sumber Daya Manusia, target yang ingin dicapai meliputi: (1) Peningkatan kesejahteraan masyarakat; (2) Pengurangan kesenjangan pendapatan; (3) Peningkatan kualitas lingkungan; (4) Peningkatan pemanfaatan sumber daya laut secara berkelanjutan untuk mendorong pertumbuhan ekonomi masyarakat; (5) Peningkatan derajat kesehatan masyarakat; dan (6) Peningkatan pendidikan dan kebudayaan masyarakat serta pengarusutamaan gender.",tak jelas,https://aksatanews.com/gubernur-al-haris-uraikan-lima-pilar-pro-jambi-mantap-berdaya-saing-dan-berkelanjutan,2026-06-15
"Menu kedua adalah Pro Jambi Sehat, yang meliputi subsidi BPJS Kesehatan bagi keluarga miskin, bantuan gizi bagi ibu hamil, balita, dan remaja, serta gerakan masyarakat hidup sehat.",tak jelas,https://aksatanews.com/gubernur-al-haris-uraikan-lima-pilar-pro-jambi-mantap-berdaya-saing-dan-berkelanjutan,2026-06-15
"Meningkatkan kualitas pelayanan, Membangun kepercayaan masyarakat, Meningkatkan efektivitas pemerintahan.",tak jelas,https://aksatanews.com/gubernur-al-haris-pentingnya-penguatan-nasionalisme-dan-kedisplinan-asn,2026-06-15
"""Kita perlu meningkatkan kualitas pelayanan kepada masyarakat, meningkatkan kepercayaan masyarakat terhadap pemerintah, serta membangun citra positif pemerintah.",tak jelas,https://aksatanews.com/gubernur-al-haris-pentingnya-penguatan-nasionalisme-dan-kedisplinan-asn,2026-06-15
"Menurutnya, PAN tidak boleh hanya aktif menjelang pemilu, tetapi harus konsisten hadir membantu dan mendengarkan aspirasi masyarakat setiap saat.",tak jelas,https://aksatanews.com/al-haris-pimpin-konsolidasi-dpw-dan-dpd-pan-kabupaten-tebo,2026-06-15
"Menurutnya, PAN tidak boleh hanya aktif menjelang pemilu, tetapi harus konsisten hadir membantu dan mendengarkan aspirasi masyarakat setiap saat.",tak jelas,https://aksatanews.com/konsolidasi-pan-di-sarolangun-al-haris-tekankan-pan-harus-selalu-hadir-di-tengah-masyarakat,2026-06-15
"Menteri Hukum Supratman menyampaikan bahwa keberadaan Posbankum di tingkat desa dan kelurahan diharapkan mampu mempermudah masyarakat dalam mengakses layanan hukum, baik untuk perkara perdata maupun pidana yang dapat diselesaikan secara kekeluargaan.",kota,https://aksatanews.com/gubernur-al-haris-dampingi-menteri-hukum-supratman-andi-resmikan-1585-posbankum-di-jambi,2026-06-15
"Kakanwil menambahkan, peresmian ini bukanlah akhir, melainkan awal dari upaya panjang dalam memastikan seluruh masyarakat, hingga ke pelosok desa, mendapatkan akses layanan hukum yang adil, mudah, dan bermartabat.",tak jelas,https://aksatanews.com/gubernur-al-haris-dampingi-menteri-hukum-supratman-andi-resmikan-1585-posbankum-di-jambi,2026-06-15
"Ariansyah, M.E., Kepala OPD lingkup pemerintah Provinsi Jambi, serta jajaran pengurus HKTI Provinsi Jambi.(*)
Editor: Anzari
AKSATANEWS.COM-Tiga warga Provinsi Jambi yang sempat terjebak dalam sindikat penipuan daring (online scam) di Kamboja akhirnya dipulangkan ke tanah ai
Read moreAKSATANEWS.COM-Dalam rangka memperingati Hari Kesatuan Gerak (HKG) PKK ke-54 Tahun 2026, Tim Penggerak PKK Provinsi Jambi Hj.",tak jelas,https://aksatanews.com/gubernur-al-haris-dorong-hkti-jadi-lokomotif-gerakan-pangan-di-jambi,2026-06-15
"Bestari juga menyampaikan bahwa Pemerintah Provinsi (Pemprov) Jambi mengimbau masyarakat untuk lebih waspada terhadap tawaran kerja di luar negeri dengan iming-iming gaji besar namun melalui jalur tidak resmi, guna menghindari kasus serupa di masa mendatang.",provinsi,https://aksatanews.com/gubernur-al-haris-bantu-pulangkan-3-warga-jambi-korban-scam-dari-kamboja,2026-06-15
"Dan penurunan stunting di Provinsi Jambi, tidak hanya pemerintah, pihak swasta dan masyarakat juga turut andil dalam upaya penanganan stunting.",tak jelas,https://aksatanews.com/abdullah-sani-minta-setiap-komponen-bekerjasama-tuntaskan-masalah-stunting,2026-06-15
