opd,bidang,uraian_fungsi,dasar_hukum
Dinas Komunikasi dan Informatika,Layanan E-Government / SPBE,"Penyelenggaraan, pengembangan, pengelolaan, dan integrasi layanan Sistem Pemerintahan Berbasis Elektronik (SPBE) daerah.",Peraturan Gubernur Jambi Nomor 5 Tahun 2020
Dinas Komunikasi dan Informatika,Informasi dan Komunikasi Publik,"Pengelolaan, layanan, dan diseminasi informasi publik serta kemitraan komunikasi pemerintah daerah.",Peraturan Gubernur Jambi Nomor 5 Tahun 2020
Dinas Komunikasi dan Informatika,Persandian dan TIK,"Pengelolaan infrastruktur TIK, jaringan intra pemerintah, tata kelola persandian, dan keamanan informasi daerah.",Peraturan Gubernur Jambi Nomor 5 Tahun 2020
Dinas Komunikasi dan Informatika,Statistik,"Penyelenggaraan statistik sektoral, pengumpulan, pengolahan, serta penyajian data terpadu daerah.",Peraturan Gubernur Jambi Nomor 5 Tahun 2020
Dinas Pekerjaan Umum dan Tata Ruang (PUTR),Bina Konstruksi,"Pembinaan, pengaturan, pengawasan jasa konstruksi, serta pengendalian dan pemanfaatan teknologi konstruksi.",Peraturan Gubernur Jambi Nomor 27 Tahun 2025
Dinas Pekerjaan Umum dan Tata Ruang (PUTR),Tata Ruang,Penyusunan rencana tata ruang serta pelaksanaan dan pengendalian pemanfaatan ruang daerah.,Peraturan Gubernur Jambi Nomor 27 Tahun 2025
Dinas Pekerjaan Umum dan Tata Ruang (PUTR),Sumber Daya Air,"Pengelolaan, operasi, dan pemeliharaan infrastruktur sumber daya air serta pembangunan jaringan irigasi dan rawa.",Peraturan Gubernur Jambi Nomor 27 Tahun 2025
Dinas Pekerjaan Umum dan Tata Ruang (PUTR),Bina Marga,"Penyelenggaraan, pembangunan, preservasi, dan pemeliharaan jalan serta jembatan berdasarkan wilayah kewenangan.",Peraturan Gubernur Jambi Nomor 27 Tahun 2025
Dinas Pekerjaan Umum dan Tata Ruang (PUTR),Cipta Karya,"Infrastruktur permukiman, penataan bangunan gedung, penyediaan air minum (SPAM), dan sanitasi/air limbah.",Peraturan Gubernur Jambi Nomor 27 Tahun 2025
Dinas Pekerjaan Umum dan Tata Ruang (PUTR),Sekretariat,"Urusan administrasi, umum, keuangan, serta perencanaan program dan pelaporan dinas.",Peraturan Gubernur Jambi Nomor 27 Tahun 2025
Dinas Pendidikan,Pembinaan SMA/SMK/PKLK,Penyelenggaraan pembinaan dan pengembangan pendidikan menengah serta pendidikan khusus dan layanan khusus.,Peraturan Gubernur Jambi Nomor 30 Tahun 2024 (SOTK)
Dinas Pemuda dan Olahraga,Pengembangan Pemuda,"Pembinaan organisasi kepemudaan, pengembangan kreativitas, serta pemberdayaan pemuda.",Peraturan Gubernur Jambi Nomor 30 Tahun 2024 (SOTK)
Dinas Pemuda dan Olahraga,Keolahragaan,Pembinaan dan pengembangan keolahragaan serta sarana prasarana olahraga.,Peraturan Gubernur Jambi Nomor 30 Tahun 2024 (SOTK)
